epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,891.486,0.38211,0.25021,0.83735,0.99948,0.74093,0.87001,0.86251,0.28377,0.19365,0.82219,0.007921,0.007921,0.007921
44,908.743,0.37541,0.25096,0.83423,0.99948,0.74788,0.87348,0.86612,0.28755,0.19326,0.8198,0.0078715,0.0078715,0.0078715
45,926.363,0.37765,0.25058,0.83357,0.99952,0.80618,0.90264,0.89179,0.28942,0.19124,0.8212,0.007822,0.007822,0.007822
46,943.925,0.37133,0.24242,0.83144,0.99952,0.80849,0.90382,0.89359,0.28303,0.18795,0.81857,0.0077725,0.0077725,0.0077725
47,961.294,0.37281,0.24524,0.835,0.9995,0.76486,0.88194,0.87338,0.29057,0.19284,0.82361,0.007723,0.007723,0.007723
48,978.709,0.371,0.24571,0.83118,0.99952,0.79807,0.89859,0.89033,0.28301,0.1887,0.82044,0.0076735,0.0076735,0.0076735
49,996.153,0.3693,0.24324,0.83145,0.99951,0.78031,0.88972,0.88176,0.28412,0.18611,0.82035,0.007624,0.007624,0.007624
50,1013.63,0.37168,0.24435,0.83315,0.99952,0.79691,0.89802,0.88774,0.29334,0.18876,0.82165,0.0075745,0.0075745,0.0075745
51,1030.99,0.36536,0.24275,0.83266,0.9995,0.77413,0.88668,0.87871,0.28051,0.18429,0.81928,0.007525,0.007525,0.007525
52,1048.69,0.36289,0.23807,0.83144,0.99951,0.78185,0.89047,0.88232,0.27452,0.18574,0.816,0.0074755,0.0074755,0.0074755
53,1066.24,0.36202,0.23918,0.83026,0.99951,0.78764,0.89335,0.88537,0.27144,0.18187,0.81655,0.007426,0.007426,0.007426
54,1083.73,0.35957,0.23809,0.82975,0.9995,0.77336,0.88619,0.87894,0.27556,0.18192,0.81621,0.0073765,0.0073765,0.0073765
55,1101.36,0.35683,0.23546,0.83013,0.99953,0.81351,0.90636,0.89684,0.27942,0.18211,0.81817,0.007327,0.007327,0.007327
56,1119.23,0.35844,0.23701,0.8301,0.99953,0.81351,0.90633,0.89812,0.27107,0.17781,0.81566,0.0072775,0.0072775,0.0072775
57,1136.77,0.35569,0.23377,0.82778,0.99951,0.79305,0.89604,0.88872,0.26257,0.17576,0.81384,0.007228,0.007228,0.007228
58,1154.27,0.35362,0.22999,0.82516,0.99951,0.79537,0.89721,0.88929,0.26529,0.17733,0.81554,0.0071785,0.0071785,0.0071785
59,1171.8,0.35124,0.23365,0.8271,0.99951,0.79266,0.89587,0.88742,0.2673,0.17955,0.81546,0.007129,0.007129,0.007129
60,1189.33,0.34663,0.23228,0.82628,0.99953,0.81737,0.90823,0.89958,0.27595,0.18408,0.81785,0.0070795,0.0070795,0.0070795
61,1206.84,0.3423,0.22617,0.82314,0.99952,0.80849,0.90381,0.89567,0.25939,0.1703,0.81249,0.00703,0.00703,0.00703
62,1224.31,0.34882,0.22976,0.82551,0.99953,0.81853,0.90881,0.90034,0.26064,0.17176,0.81306,0.0069805,0.0069805,0.0069805
63,1241.95,0.34809,0.22875,0.82584,0.99953,0.82162,0.91036,0.90163,0.25813,0.1756,0.8121,0.006931,0.006931,0.006931
64,1259.58,0.34368,0.22568,0.82572,0.99952,0.80347,0.90125,0.8931,0.26106,0.17256,0.81408,0.0068815,0.0068815,0.0068815
65,1277.09,0.34075,0.2281,0.8252,0.99953,0.82162,0.91037,0.90208,0.26344,0.17762,0.81296,0.006832,0.006832,0.006832
66,1294.66,0.34307,0.22947,0.82257,0.99953,0.82857,0.91383,0.90534,0.25908,0.17047,0.81288,0.0067825,0.0067825,0.0067825
67,1312.05,0.34019,0.22669,0.82412,0.99951,0.79344,0.89628,0.88913,0.25615,0.16794,0.81147,0.006733,0.006733,0.006733
68,1329.71,0.34054,0.22334,0.82416,0.99953,0.81622,0.90764,0.8993,0.25539,0.16829,0.81228,0.0066835,0.0066835,0.0066835
69,1347.15,0.33957,0.22224,0.82427,0.99953,0.82124,0.91017,0.90162,0.26168,0.16677,0.81281,0.006634,0.006634,0.006634
70,1364.59,0.33874,0.22354,0.82391,0.99952,0.80425,0.90165,0.8941,0.25737,0.16715,0.81277,0.0065845,0.0065845,0.0065845
