epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,795.861,0.48266,0.34021,0.91546,0.99941,0.65483,0.82696,0.81793,0.37078,0.27559,0.87826,0.0083368,0.0083368,0.0083368
44,819.155,0.47476,0.34061,0.90991,0.99945,0.69653,0.84785,0.8361,0.36844,0.2774,0.87737,0.0082972,0.0082972,0.0082972
45,842.543,0.47731,0.34006,0.91118,0.99945,0.70077,0.85001,0.83808,0.36625,0.26416,0.8779,0.0082576,0.0082576,0.0082576
46,860.835,0.4688,0.33358,0.90649,0.99946,0.72085,0.85999,0.84565,0.35903,0.26817,0.87242,0.008218,0.008218,0.008218
47,875.669,0.46786,0.3316,0.91154,0.99947,0.73359,0.86636,0.85291,0.36023,0.26134,0.87101,0.0081784,0.0081784,0.0081784
48,890.631,0.46494,0.33091,0.90403,0.99945,0.70039,0.84985,0.83847,0.36106,0.26196,0.87337,0.0081388,0.0081388,0.0081388
49,905.56,0.45891,0.32592,0.90419,0.99947,0.72664,0.86294,0.84813,0.36774,0.26064,0.87677,0.0080992,0.0080992,0.0080992
50,920.338,0.46561,0.32542,0.90467,0.99943,0.67181,0.83544,0.82509,0.37203,0.2639,0.87861,0.0080596,0.0080596,0.0080596
51,935.141,0.45439,0.3245,0.90226,0.99948,0.74479,0.872,0.8584,0.35582,0.25199,0.8703,0.00802,0.00802,0.00802
52,949.969,0.45575,0.32265,0.90189,0.99947,0.73205,0.86563,0.85243,0.35455,0.26489,0.87328,0.0079804,0.0079804,0.0079804
53,964.512,0.45765,0.32199,0.90354,0.99946,0.70927,0.85421,0.84076,0.37463,0.26183,0.87926,0.0079408,0.0079408,0.0079408
54,979.449,0.45339,0.32166,0.90176,0.99947,0.72703,0.86309,0.85207,0.35127,0.24733,0.86906,0.0079012,0.0079012,0.0079012
55,994.413,0.45378,0.32003,0.90228,0.99949,0.7529,0.87605,0.86262,0.36178,0.25419,0.87062,0.0078616,0.0078616,0.0078616
56,1009.3,0.45115,0.31779,0.89829,0.99948,0.74363,0.87136,0.86097,0.3464,0.24689,0.86822,0.007822,0.007822,0.007822
57,1023.98,0.44845,0.31799,0.89581,0.99949,0.75212,0.87568,0.86306,0.34434,0.24283,0.86415,0.0077824,0.0077824,0.0077824
58,1038.71,0.44574,0.31131,0.89578,0.99899,0.76255,0.88073,0.86903,0.33902,0.23963,0.86203,0.0077428,0.0077428,0.0077428
59,1053.39,0.4445,0.312,0.89531,0.99899,0.76602,0.88245,0.86906,0.34445,0.2451,0.8662,0.0077032,0.0077032,0.0077032
60,1068.16,0.4394,0.30943,0.89472,0.9995,0.76988,0.88453,0.87238,0.33479,0.23568,0.86228,0.0076636,0.0076636,0.0076636
61,1082.81,0.43292,0.30772,0.88959,0.99949,0.74981,0.8745,0.86187,0.34167,0.23729,0.86253,0.007624,0.007624,0.007624
62,1097.49,0.44212,0.30988,0.89321,0.99949,0.76255,0.88088,0.86964,0.33959,0.24037,0.86384,0.0075844,0.0075844,0.0075844
63,1112.29,0.44118,0.30926,0.89484,0.9995,0.76834,0.8837,0.87116,0.34012,0.2354,0.86453,0.0075448,0.0075448,0.0075448
64,1126.96,0.43579,0.30276,0.89323,0.99946,0.71853,0.85881,0.8498,0.32731,0.23181,0.85878,0.0075052,0.0075052,0.0075052
65,1141.66,0.43334,0.30452,0.89141,0.99949,0.75328,0.87626,0.86475,0.33799,0.23602,0.86253,0.0074656,0.0074656,0.0074656
66,1156.46,0.43267,0.30464,0.88714,0.99948,0.74672,0.87288,0.86199,0.33241,0.23766,0.8596,0.007426,0.007426,0.007426
67,1171.14,0.43493,0.30535,0.89209,0.9995,0.76564,0.88233,0.87022,0.33378,0.23466,0.85908,0.0073864,0.0073864,0.0073864
68,1186.06,0.42828,0.30023,0.88873,0.9995,0.77683,0.88798,0.87683,0.32859,0.22879,0.85738,0.0073468,0.0073468,0.0073468
69,1200.67,0.43021,0.29924,0.8865,0.9995,0.77915,0.88912,0.8774,0.32306,0.2263,0.85496,0.0073072,0.0073072,0.0073072
70,1215.33,0.42377,0.29796,0.88748,0.99949,0.7556,0.87732,0.8666,0.32888,0.23199,0.85859,0.0072676,0.0072676,0.0072676
71,1230.16,0.42245,0.2947,0.88401,0.9995,0.77375,0.88645,0.8753,0.32399,0.22359,0.85442,0.007228,0.007228,0.007228
72,1244.92,0.43036,0.2998,0.89155,0.99897,0.74865,0.87371,0.86327,0.3234,0.22502,0.85718,0.0071884,0.0071884,0.0071884
73,1259.64,0.41856,0.29582,0.88366,0.99948,0.74826,0.87372,0.86387,0.32883,0.22341,0.8568,0.0071488,0.0071488,0.0071488
74,1274.46,0.41659,0.2907,0.88693,0.99951,0.79228,0.89572,0.88377,0.32778,0.2235,0.85502,0.0071092,0.0071092,0.0071092
75,1289.14,0.4183,0.29456,0.88133,0.99951,0.78108,0.89017,0.87752,0.32759,0.22736,0.85309,0.0070696,0.0070696,0.0070696
76,1304.38,0.41846,0.29105,0.88369,0.99949,0.76371,0.88138,0.87094,0.32038,0.21875,0.85366,0.00703,0.00703,0.00703
77,1319.14,0.41606,0.28999,0.88442,0.99951,0.78301,0.89103,0.87967,0.32551,0.22172,0.85491,0.0069904,0.0069904,0.0069904
78,1333.73,0.42028,0.28964,0.8829,0.9995,0.77027,0.88471,0.87398,0.31624,0.21867,0.85019,0.0069508,0.0069508,0.0069508
79,1348.72,0.41198,0.28597,0.87888,0.99949,0.75792,0.87852,0.86748,0.32332,0.22364,0.8517,0.0069112,0.0069112,0.0069112
80,1363.49,0.41165,0.28568,0.88251,0.9995,0.77645,0.88779,0.87588,0.32265,0.2222,0.85524,0.0068716,0.0068716,0.0068716
81,1378.11,0.41222,0.28661,0.87837,0.99952,0.80116,0.90023,0.88976,0.30923,0.21603,0.84811,0.006832,0.006832,0.006832
82,1392.88,0.41018,0.28646,0.88186,0.99951,0.79073,0.89492,0.88264,0.31971,0.2186,0.85347,0.0067924,0.0067924,0.0067924
83,1407.66,0.40629,0.28364,0.87674,0.99951,0.7888,0.894,0.88331,0.30936,0.21492,0.85073,0.0067528,0.0067528,0.0067528
84,1422.42,0.40146,0.27897,0.87323,0.99951,0.78649,0.89282,0.88174,0.31371,0.2173,0.85168,0.0067132,0.0067132,0.0067132
85,1437.18,0.40736,0.28468,0.87886,0.9995,0.77104,0.88507,0.8748,0.31121,0.22358,0.84863,0.0066736,0.0066736,0.0066736
86,1451.83,0.41343,0.28563,0.87839,0.99951,0.78494,0.892,0.88177,0.31388,0.22105,0.85002,0.006634,0.006634,0.006634
87,1466.45,0.40738,0.28354,0.87551,0.99952,0.80193,0.90051,0.8897,0.31111,0.21362,0.84961,0.0065944,0.0065944,0.0065944
88,1481.37,0.40396,0.279,0.87566,0.9995,0.77915,0.88914,0.87897,0.31119,0.21617,0.84904,0.0065548,0.0065548,0.0065548
89,1496.04,0.40399,0.28164,0.87606,0.99951,0.78919,0.89423,0.8841,0.31111,0.21228,0.84902,0.0065152,0.0065152,0.0065152
90,1510.82,0.39657,0.27339,0.87084,0.99951,0.79073,0.89501,0.88441,0.31104,0.21108,0.85226,0.0064756,0.0064756,0.0064756
91,1525.82,0.3965,0.27544,0.86921,0.99952,0.79575,0.8974,0.88754,0.30862,0.20806,0.8465,0.006436,0.006436,0.006436
92,1542.97,0.40177,0.27805,0.87558,0.9995,0.77181,0.88545,0.87649,0.30319,0.2106,0.84577,0.0063964,0.0063964,0.0063964
93,1566.94,0.40428,0.27658,0.87539,0.99951,0.79537,0.89723,0.88826,0.29592,0.20108,0.84216,0.0063568,0.0063568,0.0063568
94,1590.74,0.39648,0.27304,0.87141,0.9995,0.77568,0.88745,0.8787,0.30109,0.20353,0.84467,0.0063172,0.0063172,0.0063172
95,1614.58,0.39262,0.27271,0.86979,0.99952,0.79768,0.89839,0.88853,0.3084,0.20231,0.8457,0.0062776,0.0062776,0.0062776
96,1638.18,0.39306,0.27065,0.87138,0.99952,0.81158,0.90534,0.89453,0.30714,0.20288,0.84655,0.006238,0.006238,0.006238
97,1661.76,0.39189,0.27196,0.87216,0.99952,0.8027,0.9009,0.89189,0.29817,0.20582,0.84173,0.0061984,0.0061984,0.0061984
98,1685.26,0.39059,0.27192,0.87301,0.99952,0.80386,0.90148,0.89212,0.29831,0.2019,0.84464,0.0061588,0.0061588,0.0061588
99,1709.56,0.39561,0.27129,0.86953,0.99952,0.80039,0.89976,0.89034,0.29736,0.20112,0.84265,0.0061192,0.0061192,0.0061192
100,1733.57,0.3976,0.27315,0.87146,0.99904,0.80039,0.89978,0.88937,0.30233,0.20369,0.84292,0.0060796,0.0060796,0.0060796
101,1757.64,0.38871,0.26623,0.87125,0.99952,0.80888,0.90399,0.89447,0.29795,0.19717,0.84366,0.00604,0.00604,0.00604
102,1781.52,0.3891,0.26873,0.87351,0.99952,0.80656,0.90283,0.89316,0.29701,0.19922,0.84059,0.0060004,0.0060004,0.0060004
103,1796.42,0.38797,0.26482,0.86904,0.99952,0.81236,0.90588,0.89536,0.29775,0.20005,0.8422,0.0059608,0.0059608,0.0059608
104,1811.29,0.38548,0.26621,0.86805,0.99952,0.80502,0.90212,0.89321,0.29466,0.19542,0.84183,0.0059212,0.0059212,0.0059212
105,1833.57,0.38455,0.26283,0.86848,0.99952,0.80116,0.90019,0.89091,0.29626,0.19723,0.84271,0.0058816,0.0058816,0.0058816
106,1858,0.3862,0.26211,0.86566,0.99952,0.80541,0.90229,0.89264,0.29727,0.19438,0.84029,0.005842,0.005842,0.005842
107,1882.34,0.38392,0.26444,0.86678,0.99953,0.81274,0.90589,0.89529,0.29671,0.19763,0.84335,0.0058024,0.0058024,0.0058024
108,1906.13,0.38184,0.26407,0.86605,0.99952,0.80116,0.90025,0.8912,0.29138,0.19344,0.84062,0.0057628,0.0057628,0.0057628
109,1930.16,0.3779,0.2603,0.86429,0.99952,0.81197,0.90551,0.89581,0.29034,0.19406,0.83978,0.0057232,0.0057232,0.0057232
110,1954.21,0.38022,0.26061,0.86429,0.99952,0.8112,0.90522,0.89547,0.29437,0.19608,0.8411,0.0056836,0.0056836,0.0056836
111,1968.97,0.38061,0.26028,0.86843,0.99953,0.81622,0.9077,0.8981,0.28774,0.19387,0.84083,0.005644,0.005644,0.005644
112,1983.97,0.3767,0.26067,0.86285,0.99952,0.80347,0.90129,0.89242,0.28921,0.1914,0.83945,0.0056044,0.0056044,0.0056044
113,2007.01,0.37868,0.26158,0.86089,0.99952,0.80386,0.90144,0.89113,0.2899,0.19332,0.83763,0.0055648,0.0055648,0.0055648
114,2023.93,0.37485,0.25819,0.86133,0.99953,0.82317,0.91112,0.90055,0.28815,0.19082,0.83804,0.0055252,0.0055252,0.0055252
115,2038.6,0.37501,0.2548,0.86063,0.99953,0.81583,0.90752,0.89887,0.2853,0.1873,0.8348,0.0054856,0.0054856,0.0054856
116,2059.11,0.37346,0.25506,0.86279,0.99953,0.82201,0.9106,0.90202,0.28636,0.19058,0.83701,0.005446,0.005446,0.005446
117,2082.07,0.37704,0.25714,0.86275,0.99953,0.81506,0.90705,0.89857,0.2843,0.19007,0.83516,0.0054064,0.0054064,0.0054064
118,2105,0.36963,0.25353,0.85935,0.99952,0.80734,0.90332,0.89446,0.28748,0.18803,0.83692,0.0053668,0.0053668,0.0053668
119,2128.11,0.37392,0.25459,0.86337,0.99953,0.8251,0.91209,0.90309,0.28758,0.18881,0.83888,0.0053272,0.0053272,0.0053272
120,2151.37,0.3696,0.25424,0.85928,0.99905,0.81197,0.90542,0.89605,0.28533,0.18699,0.8345,0.0052876,0.0052876,0.0052876
121,2174.29,0.37188,0.25427,0.86234,0.99953,0.81583,0.90749,0.89929,0.28013,0.18679,0.83499,0.005248,0.005248,0.005248
122,2197.46,0.37173,0.25511,0.86384,0.99953,0.82587,0.91248,0.90272,0.28292,0.19036,0.83897,0.0052084,0.0052084,0.0052084
123,2220.43,0.36904,0.25237,0.86058,0.99953,0.82548,0.91233,0.90322,0.28127,0.1859,0.83412,0.0051688,0.0051688,0.0051688
124,2243.81,0.37283,0.25461,0.85925,0.99952,0.80656,0.90288,0.89426,0.28078,0.18933,0.83259,0.0051292,0.0051292,0.0051292
125,2266.66,0.3684,0.25051,0.85932,0.99954,0.83089,0.91501,0.90571,0.27704,0.18538,0.83346,0.0050896,0.0050896,0.0050896
126,2289.79,0.36732,0.24896,0.86056,0.99953,0.82432,0.91168,0.90362,0.27594,0.18414,0.83246,0.00505,0.00505,0.00505
127,2312.95,0.36258,0.24907,0.85794,0.99953,0.81583,0.90751,0.89946,0.2757,0.18252,0.83011,0.0050104,0.0050104,0.0050104
128,2336.07,0.36292,0.249,0.85485,0.99954,0.83629,0.91771,0.90796,0.27525,0.18259,0.83223,0.0049708,0.0049708,0.0049708
129,2359.07,0.36761,0.2493,0.85964,0.99954,0.83707,0.91819,0.90864,0.27884,0.18395,0.83355,0.0049312,0.0049312,0.0049312
130,2382.19,0.3661,0.25141,0.85929,0.99953,0.81892,0.90907,0.90082,0.27583,0.18201,0.83223,0.0048916,0.0048916,0.0048916
131,2405.27,0.36341,0.24826,0.85796,0.99953,0.82896,0.91413,0.90493,0.27777,0.18274,0.8323,0.004852,0.004852,0.004852
132,2428.11,0.36139,0.24616,0.85445,0.99954,0.83398,0.91651,0.90709,0.27425,0.17696,0.83133,0.0048124,0.0048124,0.0048124
133,2451.51,0.36583,0.2476,0.8543,0.99954,0.83514,0.91711,0.90812,0.27243,0.17961,0.8293,0.0047728,0.0047728,0.0047728
134,2468.39,0.35925,0.2472,0.85576,0.99954,0.83398,0.91653,0.90767,0.27406,0.18418,0.8311,0.0047332,0.0047332,0.0047332
135,2482.92,0.3589,0.24307,0.85845,0.99954,0.84402,0.92164,0.91209,0.27059,0.18207,0.83112,0.0046936,0.0046936,0.0046936
136,2497.86,0.35938,0.24224,0.85412,0.99953,0.82703,0.91313,0.90449,0.26989,0.17878,0.83072,0.004654,0.004654,0.004654
137,2512.4,0.35778,0.24258,0.854,0.99954,0.83012,0.91469,0.90638,0.2677,0.17477,0.82983,0.0046144,0.0046144,0.0046144
138,2526.89,0.35673,0.24194,0.85599,0.99953,0.82625,0.91265,0.90447,0.27056,0.176,0.83166,0.0045748,0.0045748,0.0045748
139,2542.02,0.35542,0.23969,0.85652,0.99954,0.83436,0.91676,0.90769,0.27257,0.17825,0.83247,0.0045352,0.0045352,0.0045352
140,2556.6,0.3539,0.24209,0.85555,0.99954,0.84324,0.92115,0.91193,0.26918,0.17922,0.83125,0.0044956,0.0044956,0.0044956
141,2571.16,0.35589,0.24084,0.85394,0.99954,0.83282,0.91613,0.90759,0.2694,0.17754,0.83064,0.004456,0.004456,0.004456
142,2585.82,0.35421,0.24262,0.85482,0.99954,0.84054,0.91995,0.91097,0.27083,0.17672,0.82991,0.0044164,0.0044164,0.0044164
