epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2954.83,0.34985,0.23927,0.86369,0.99952,0.80695,0.90302,0.89641,0.25559,0.17589,0.84739,0.00884029,0.00884029,0.00884029
43,3031.57,0.34524,0.2354,0.86542,0.99952,0.80579,0.90241,0.8961,0.25491,0.17415,0.84626,0.008812,0.008812,0.008812
44,3110.16,0.35059,0.23686,0.86407,0.99954,0.83089,0.91503,0.90759,0.2516,0.17039,0.8378,0.00878371,0.00878371,0.00878371
45,3182.14,0.34716,0.23561,0.86263,0.99954,0.84363,0.92134,0.914,0.24456,0.17286,0.84583,0.00875543,0.00875543,0.00875543
46,3252.98,0.3363,0.23139,0.85753,0.99954,0.83282,0.91595,0.90994,0.24327,0.16708,0.83961,0.00872714,0.00872714,0.00872714
47,3326.06,0.33532,0.22654,0.85742,0.99954,0.83166,0.91542,0.90828,0.24766,0.16983,0.83915,0.00869886,0.00869886,0.00869886
48,3400.33,0.33716,0.22837,0.85949,0.99954,0.83977,0.91946,0.9117,0.24374,0.16649,0.83738,0.00867057,0.00867057,0.00867057
49,3472.62,0.33899,0.23289,0.8571,0.99954,0.83012,0.91467,0.90772,0.24378,0.16685,0.84372,0.00864229,0.00864229,0.00864229
50,3544.49,0.33247,0.23218,0.85707,0.99954,0.83205,0.91563,0.90824,0.24708,0.17167,0.84625,0.008614,0.008614,0.008614
51,3616.65,0.32989,0.22581,0.8595,0.9991,0.85714,0.92807,0.91999,0.2416,0.1604,0.84265,0.00858571,0.00858571,0.00858571
