epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1041.93,0.39661,0.29195,0.85499,0.99952,0.80347,0.90126,0.89052,0.29163,0.21629,0.82614,0.007921,0.007921,0.007921
44,1066.3,0.3921,0.28609,0.8496,0.99904,0.8027,0.90084,0.8887,0.29488,0.21767,0.82573,0.0078715,0.0078715,0.0078715
45,1090.58,0.39574,0.29015,0.85134,0.99951,0.79459,0.89682,0.88783,0.28759,0.21351,0.82114,0.007822,0.007822,0.007822
46,1114.92,0.38656,0.28386,0.85016,0.99951,0.78958,0.89445,0.88416,0.29524,0.21778,0.82518,0.0077725,0.0077725,0.0077725
47,1139.5,0.38372,0.27901,0.8508,0.99953,0.81274,0.90597,0.8948,0.3009,0.21517,0.82619,0.007723,0.007723,0.007723
48,1164.07,0.38546,0.28411,0.84999,0.99902,0.79112,0.89505,0.88508,0.29343,0.21611,0.82446,0.0076735,0.0076735,0.0076735
49,1188.46,0.38666,0.27975,0.84899,0.99954,0.83668,0.91787,0.90585,0.29032,0.20953,0.82304,0.007624,0.007624,0.007624
50,1212.86,0.38514,0.27622,0.84892,0.99952,0.80347,0.90126,0.8919,0.28613,0.20879,0.82007,0.0075745,0.0075745,0.0075745
51,1237.28,0.38169,0.27957,0.8488,0.99954,0.83707,0.91805,0.90793,0.27968,0.20116,0.81933,0.007525,0.007525,0.007525
52,1261.57,0.37476,0.27439,0.84699,0.99951,0.79459,0.89687,0.88897,0.27676,0.20233,0.82019,0.0074755,0.0074755,0.0074755
53,1286.07,0.38158,0.27239,0.84965,0.99954,0.83784,0.91848,0.9085,0.28086,0.20332,0.81922,0.007426,0.007426,0.007426
54,1310.52,0.3778,0.27218,0.84683,0.99954,0.84286,0.921,0.91063,0.28417,0.20119,0.81859,0.0073765,0.0073765,0.0073765
55,1335.05,0.37544,0.27295,0.84708,0.99954,0.83938,0.91932,0.90857,0.29777,0.21075,0.82742,0.007327,0.007327,0.007327
56,1359.38,0.37422,0.27346,0.84477,0.99907,0.82819,0.91366,0.90421,0.27656,0.19918,0.81816,0.0072775,0.0072775,0.0072775
57,1383.9,0.37408,0.26817,0.84541,0.99953,0.82471,0.91188,0.90226,0.2763,0.19684,0.82031,0.007228,0.007228,0.007228
58,1408.41,0.37021,0.26708,0.84301,0.99954,0.83668,0.91786,0.9086,0.26745,0.19019,0.81712,0.0071785,0.0071785,0.0071785
59,1432.9,0.37067,0.26868,0.84541,0.99953,0.81815,0.90868,0.90042,0.27643,0.19949,0.818,0.007129,0.007129,0.007129
60,1457.44,0.36692,0.26603,0.84534,0.99953,0.81274,0.9059,0.89815,0.27725,0.19985,0.81697,0.0070795,0.0070795,0.0070795
61,1482.02,0.35887,0.26177,0.83952,0.99954,0.83205,0.91556,0.90733,0.27047,0.19587,0.81722,0.00703,0.00703,0.00703
62,1506.36,0.365,0.26323,0.84151,0.99954,0.84054,0.91989,0.91047,0.26594,0.19144,0.81453,0.0069805,0.0069805,0.0069805
63,1530.73,0.36583,0.26346,0.84433,0.99955,0.85985,0.92952,0.91824,0.26735,0.18925,0.81426,0.006931,0.006931,0.006931
64,1555.23,0.35952,0.25734,0.84113,0.99955,0.8556,0.92737,0.9169,0.27102,0.18865,0.81693,0.0068815,0.0068815,0.0068815
65,1579.34,0.35592,0.25988,0.8381,0.99953,0.81737,0.90825,0.90023,0.26767,0.19171,0.8126,0.006832,0.006832,0.006832
66,1603.92,0.35863,0.25924,0.83785,0.99954,0.83089,0.915,0.90646,0.26909,0.18979,0.81398,0.0067825,0.0067825,0.0067825
67,42004.7,0.35888,0.2599,0.84174,0.99953,0.82317,0.9111,0.9029,0.26036,0.1857,0.8153,0.006733,0.006733,0.006733
68,42035.5,0.3554,0.25602,0.8398,0.99954,0.83282,0.91602,0.90673,0.26773,0.1863,0.81453,0.0066835,0.0066835,0.0066835
69,42060.8,0.35656,0.25495,0.83914,0.99952,0.81236,0.90573,0.89862,0.26502,0.18915,0.81529,0.006634,0.006634,0.006634
70,42087.4,0.35366,0.25379,0.83916,0.99953,0.82201,0.91058,0.9033,0.26421,0.18626,0.81264,0.0065845,0.0065845,0.0065845
